Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations",550,425,120,250,175,80,"1,185",890,295,"1,390","1,090",300,"16,165","12,900","3,265","28,670","22,075","6,595","2,215","1,800",420,"1,400","1,235",165,"5,960","5,065",900,"5,880","4,650","1,235",15,15,0,10,10,0,15,15,10
"9201 Supervisors, processing and manufacturing occupations",520,410,110,235,165,70,965,740,230,"1,210",935,280,"12,480","9,870","2,605","16,560","12,505","4,060","1,655","1,305",350,"1,145","1,000",145,"5,335","4,540",795,"4,955","3,900","1,055",15,15,0,10,10,0,15,15,10
"92010 Supervisors, mineral and metal processing",65,65,0,0,0,0,50,45,0,60,60,0,"2,005","1,870",135,"2,330","2,205",125,175,160,10,145,135,10,415,395,15,470,435,35,0,0,0,0,0,0,0,0,0
"92011 Supervisors, petroleum, gas and chemical processing and utilities",195,165,30,50,40,0,290,250,35,265,225,40,"2,145","1,605",540,"4,565","3,615",955,470,400,75,525,480,50,"2,825","2,530",295,"1,145",990,155,10,10,0,10,10,0,10,10,0
"92012 Supervisors, food and beverage processing",220,150,75,170,115,60,415,270,150,560,350,215,"4,605","3,310","1,290","6,150","3,955","2,195",720,525,195,325,245,90,"1,300",915,380,"1,700","1,015",685,0,0,0,0,0,0,10,0,10
"92013 Supervisors, plastic and rubber products manufacturing",10,10,0,0,0,0,100,85,20,10,0,0,"1,160",935,225,"1,785","1,405",380,110,70,45,25,25,0,235,205,30,255,235,25,0,0,0,0,0,0,0,0,0
"92014 Supervisors, forest products processing",20,20,0,0,0,0,85,80,10,310,300,15,"2,055","1,885",170,"1,320","1,165",160,130,125,0,115,115,0,505,460,45,"1,285","1,210",80,0,0,0,0,0,0,0,0,0
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0,0,0,0,25,10,15,0,0,0,505,260,245,410,165,245,50,25,20,0,0,0,60,25,35,105,25,75,0,0,0,0,0,0,0,0,0
"9202 Supervisors, assembly and fabrication",25,15,10,20,10,10,220,155,70,175,160,25,"3,685","3,025",655,"12,100","9,565","2,535",560,495,65,255,235,25,630,525,105,920,745,180,0,0,0,0,0,0,0,0,0
"92020 Supervisors, motor vehicle assembling",0,0,0,0,0,0,25,15,0,10,10,0,300,260,40,"8,000","6,290","1,715",40,40,0,25,20,0,70,55,15,85,70,10,0,0,0,0,0,0,0,0,0
"92021 Supervisors, electronics and electrical products manufacturing",0,0,0,0,0,0,35,10,25,25,25,0,485,365,120,"1,230",820,405,65,50,20,45,45,0,145,120,30,260,175,80,0,0,0,0,0,0,0,0,0
"92022 Supervisors, furniture and fixtures manufacturing",0,0,0,0,0,0,0,0,0,15,15,0,695,550,150,630,530,95,135,95,35,0,0,0,50,40,15,125,95,30,0,0,0,0,0,0,0,0,0
"92023 Supervisors, other mechanical and metal products manufacturing",20,10,10,15,10,0,105,90,20,50,35,0,915,810,105,"1,110",990,120,255,245,10,120,105,20,195,175,15,180,160,15,0,0,0,0,0,0,0,0,0
"92024 Supervisors, other products manufacturing and assembly",0,0,0,0,0,0,60,40,20,80,65,15,"1,290","1,045",245,"1,140",940,200,70,70,0,60,60,0,175,135,35,280,240,40,0,0,0,0,0,0,0,0,0
921 Utilities equipment operators and controllers,975,925,50,280,265,15,"1,525","1,405",125,"1,550","1,425",120,"6,115","5,535",575,"13,770","12,435","1,330","2,390","2,275",115,"3,510","3,220",295,"12,075","11,135",935,"7,685","7,150",535,125,105,20,140,135,0,80,75,0
9210 Utilities equipment operators and controllers,975,925,50,280,265,15,"1,525","1,405",125,"1,550","1,425",120,"6,115","5,535",575,"13,770","12,435","1,330","2,390","2,275",115,"3,510","3,220",295,"12,075","11,135",935,"7,685","7,150",535,125,105,20,140,135,0,80,75,0
92100 Power engineers and power systems operators,815,790,30,210,210,0,"1,070","1,010",65,"1,265","1,175",90,"3,850","3,625",225,"8,655","7,990",665,"1,785","1,730",55,"2,660","2,480",180,"9,845","9,215",630,"5,880","5,560",315,65,55,10,85,85,0,35,30,0
92101 Water and waste treatment plant operators,160,140,20,70,50,15,455,395,60,280,250,30,"2,265","1,915",350,"5,115","4,445",665,610,545,55,855,740,110,"2,225","1,920",305,"1,805","1,590",220,60,50,10,60,50,0,50,45,0
93 Central control and process operators and aircraft assembly assemblers and inspectors,470,420,45,95,80,10,440,365,75,600,530,70,"5,705","4,765",935,"8,685","7,355","1,330",935,780,155,"1,935","1,855",85,"10,655","9,885",765,"2,920","2,700",215,10,10,0,60,50,10,10,10,0
931 Central control and process operators in processing and manufacturing,460,410,45,70,70,0,320,265,50,570,510,60,"2,310","1,845",460,"7,010","6,115",900,500,440,60,"1,930","1,850",85,"10,620","9,855",760,"2,825","2,620",210,10,10,0,60,50,10,10,10,0
9310 Central control and process operators in processing and manufacturing,460,410,45,70,70,0,320,265,50,570,510,60,"2,310","1,845",460,"7,010","6,115",900,500,440,60,"1,930","1,850",85,"10,620","9,855",760,"2,825","2,620",210,10,10,0,60,50,10,10,10,0
"93100 Central control and process operators, mineral and metal processing",115,105,10,0,0,0,25,25,0,0,0,0,275,250,25,935,910,25,50,40,0,210,180,25,230,215,15,595,520,70,0,0,0,25,20,10,0,0,0
"93101 Central control and process operators, petroleum, gas and chemical processing",320,280,35,70,60,0,270,220,50,495,435,60,"1,735","1,355",390,"5,945","5,080",860,450,400,50,"1,725","1,665",55,"10,315","9,575",745,"2,065","1,935",130,10,10,0,35,35,0,10,10,0
"93102 Pulping, papermaking and coating control operators",15,15,0,0,0,0,25,25,0,70,70,0,295,245,50,135,120,10,0,0,0,0,0,0,70,65,0,165,160,10,0,0,0,0,0,0,0,0,0
932 Aircraft assemblers and aircraft assembly inspectors,15,15,0,20,15,10,125,105,20,35,20,15,"3,395","2,925",475,"1,670","1,240",430,440,340,100,10,10,0,35,30,0,95,85,10,0,0,0,0,0,0,0,0,0
9320 Aircraft assemblers and aircraft assembly inspectors,15,15,0,20,15,10,125,105,20,35,20,15,"3,395","2,925",475,"1,670","1,240",430,440,340,100,10,10,0,35,30,0,95,85,10,0,0,0,0,0,0,0,0,0
93200 Aircraft assemblers and aircraft assembly inspectors,15,15,0,20,15,10,125,105,20,35,20,15,"3,395","2,925",475,"1,670","1,240",430,440,340,100,10,10,0,35,30,0,95,85,10,0,0,0,0,0,0,0,0,0
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","3,865","2,410","1,450","1,985","1,185",800,"8,670","6,205","2,460","8,005","5,780","2,230","104,540","76,725","27,815","193,895","132,420","61,475","17,630","12,705","4,925","6,535","5,325","1,205","28,685","21,765","6,915","34,400","25,100","9,295",140,115,20,70,55,15,65,45,25
941 Processing and manufacturing machine operators and related production workers,"3,275","1,895","1,385","1,730",970,760,"6,255","4,360","1,895","6,070","4,170","1,895","67,735","49,475","18,265","82,785","56,360","26,425","10,890","7,335","3,555","4,020","3,175",845,"19,345","14,225","5,120","22,770","15,950","6,825",90,75,15,45,35,10,60,35,25
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,255,215,35,55,55,0,425,410,20,400,380,20,"16,080","14,490","1,590","18,420","16,715","1,705","1,870","1,775",95,850,815,35,"3,025","2,810",220,"3,175","2,965",215,20,20,0,15,10,10,0,0,0
"94100 Machine operators, mineral and metal processing",175,155,15,10,10,0,65,65,0,70,70,0,"4,560","4,270",290,"2,365","2,215",145,310,295,15,215,190,20,410,360,45,610,560,45,10,10,0,15,15,10,0,0,0
94101 Foundry workers,20,10,10,0,0,0,10,10,0,0,0,0,"1,500","1,400",105,685,655,30,150,150,0,0,10,0,25,20,0,130,130,0,0,0,0,0,0,0,0,0,0
94102 Glass forming and finishing machine operators and glass cutters,0,0,0,10,10,0,15,15,0,85,80,0,780,705,75,925,810,110,30,30,0,45,45,0,210,185,25,315,265,45,0,0,0,0,0,0,0,0,0
"94103 Concrete, clay and stone forming operators",20,20,0,0,0,0,80,80,0,35,35,0,"1,285","1,230",55,"1,480","1,395",80,120,105,10,75,75,0,335,315,20,580,570,10,0,0,0,0,0,0,0,0,0
"94104 Inspectors and testers, mineral and metal processing",0,0,0,0,0,0,15,10,0,20,20,0,775,585,185,"1,015",775,240,65,65,0,60,60,0,265,235,30,145,125,20,0,0,0,0,0,0,0,0,0
94105 Metalworking and forging machine operators,25,25,0,25,25,0,95,85,10,130,125,10,"3,300","2,915",385,"5,765","5,315",450,660,620,40,325,320,0,980,935,45,845,820,25,0,0,0,0,0,0,0,0,0
94106 Machining tool operators,0,0,0,0,0,0,45,45,0,50,50,0,"2,795","2,470",325,"4,865","4,435",430,430,415,20,90,85,0,580,555,25,380,360,20,0,0,0,0,0,0,0,0,0
94107 Machine operators of other metal products,0,0,0,0,0,0,95,90,0,15,10,0,"1,085",910,175,"1,325","1,105",220,95,90,10,40,40,0,220,210,15,170,130,40,0,0,0,0,0,0,0,0,0
"9411 Machine operators and related workers in chemical, plastic and rubber processing",90,70,15,35,30,10,"1,575","1,280",295,370,300,70,"9,955","7,380","2,580","11,715","8,500","3,215",845,690,150,300,275,25,"2,045","1,815",230,"1,360","1,065",295,0,0,0,0,0,0,0,0,0
94110 Chemical plant machine operators,25,25,0,20,15,0,75,60,20,60,55,0,"3,235","2,195","1,035","2,870","2,130",740,255,190,65,150,125,25,985,910,75,470,310,155,0,0,0,0,0,0,0,0,0
94111 Plastics processing machine operators,30,20,10,15,10,0,290,225,60,270,210,60,"4,625","3,440","1,185","7,420","5,210","2,215",475,390,90,90,85,0,740,620,125,680,545,135,0,0,0,0,0,0,0,0,0
94112 Rubber processing machine operators and related workers,35,30,0,0,0,0,"1,215",995,215,35,30,0,"2,095","1,740",360,"1,420","1,165",260,110,110,0,65,65,0,315,285,25,210,210,0,0,0,0,0,0,0,0,0,0
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,180,170,10,55,50,0,610,540,70,"1,400","1,275",125,"11,405","9,900","1,505","5,560","4,730",830,730,590,140,325,255,65,"2,050","1,790",255,"5,520","5,050",465,20,20,0,0,0,0,0,0,0
94120 Sawmill machine operators,45,45,0,15,15,0,240,230,10,360,335,20,"1,885","1,800",90,"1,000",940,60,80,65,15,140,120,25,820,715,105,"2,095","1,955",135,10,10,0,0,0,0,0,0,0
"94121 Pulp mill, papermaking and finishing machine operators",65,65,0,0,0,0,105,100,10,385,365,15,"2,265","2,105",165,935,830,105,65,45,15,55,35,20,430,395,35,910,815,95,0,0,0,0,0,0,0,0,0
94122 Paper converting machine operators,20,20,0,25,25,0,95,90,10,105,95,0,"1,935","1,630",305,"1,120",890,225,160,130,35,10,0,0,70,55,15,205,175,25,0,0,0,0,0,0,0,0,0
94123 Lumber graders and other wood processing inspectors and graders,10,10,0,0,0,0,45,45,0,155,125,30,"1,130",885,250,200,140,65,35,30,0,20,10,10,210,155,55,875,790,85,0,0,0,0,0,0,0,0,0
94124 Woodworking machine operators,20,10,10,10,10,0,85,45,40,295,245,50,"3,375","2,805",575,"1,935","1,610",325,340,285,60,60,50,15,305,265,35,770,695,70,15,15,0,0,0,0,0,0,0
94129 Other wood processing machine operators,10,10,0,0,0,0,40,35,0,115,110,0,805,675,125,375,320,55,45,40,10,40,40,0,215,205,15,670,615,55,0,0,0,0,0,0,0,0,0
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",160,40,120,35,0,35,540,90,460,130,20,110,"6,895","2,100","4,790","9,305","1,635","7,670","1,870",255,"1,610",270,70,200,"1,155",205,950,"2,285",390,"1,895",10,10,0,0,0,0,10,0,10
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",15,10,0,0,0,0,100,25,75,20,0,15,"1,300",800,495,"1,035",530,500,110,65,45,40,30,15,160,100,55,240,145,95,10,10,0,0,0,0,0,0,0
"94131 Weavers, knitters and other fabric making occupations",30,10,20,25,0,15,65,30,35,15,0,15,770,400,375,965,280,685,75,25,55,25,0,25,260,55,205,205,35,170,0,0,0,0,0,0,0,0,0
94132 Industrial sewing machine operators,105,10,95,10,0,10,345,30,315,95,15,80,"4,035",740,"3,295","6,685",715,"5,970","1,575",160,"1,420",205,40,160,715,35,675,"1,650",155,"1,495",0,0,0,0,0,0,0,0,0
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",10,10,0,0,0,0,35,0,30,0,0,0,785,155,630,625,110,515,105,0,100,0,0,0,25,15,20,190,55,130,0,0,0,0,0,0,0,0,0
"9414 Machine operators and related workers in food, beverage and associated products processing","2,505","1,345","1,155","1,480",785,695,"2,755","1,815",940,"3,630","2,095","1,540","19,970","13,480","6,490","31,215","20,610","10,610","4,690","3,420","1,270","1,995","1,620",375,"9,860","6,920","2,940","8,780","5,510","3,275",40,30,0,15,20,0,60,35,15
"94140 Process control and machine operators, food and beverage processing",250,200,50,350,275,75,875,715,165,"1,155",915,240,"13,090","9,210","3,880","23,400","16,040","7,360","1,895","1,510",380,"1,325","1,165",160,"4,385","3,435",950,"5,590","3,920","1,670",20,20,0,15,15,0,10,10,0
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",50,35,10,90,70,20,125,105,20,160,100,60,"4,245","3,125","1,120","4,385","3,190","1,195","2,240","1,705",535,495,390,110,"4,515","3,130","1,385","1,290",740,555,10,0,0,0,0,0,10,10,0
94142 Fish and seafood plant workers,"1,950","1,020",920,600,275,325,"1,270",785,485,"2,005",985,"1,020",980,540,440,435,250,180,125,35,95,40,25,15,35,25,10,"1,115",540,580,0,0,0,10,0,0,40,20,15
"94143 Testers and graders, food and beverage processing",255,85,170,445,165,280,480,210,270,310,95,225,"1,660",605,"1,050","3,000","1,120","1,875",430,175,255,135,45,95,925,330,595,780,305,475,0,0,0,0,0,0,0,0,0
9415 Printing equipment operators and related occupations,95,45,45,70,45,20,340,225,115,140,105,30,"3,435","2,130","1,305","6,565","4,165","2,400",885,600,290,275,140,140,"1,210",685,525,"1,645",965,680,0,0,0,0,0,0,0,0,0
94150 Plateless printing equipment operators,60,30,25,15,15,0,135,95,45,80,65,15,"1,745","1,110",640,"3,480","2,310","1,170",405,320,90,110,55,55,550,360,190,710,475,235,0,0,0,0,0,0,0,0,0
"94151 Camera, platemaking and other prepress occupations",10,0,10,10,0,10,80,65,15,10,0,0,535,355,180,980,700,280,145,120,25,35,25,10,150,105,40,165,115,50,0,0,0,0,0,0,0,0,0
94152 Binding and finishing machine operators,0,0,0,30,30,0,65,35,25,50,35,10,935,570,365,"1,615",925,690,290,155,140,90,40,50,385,165,220,370,190,180,0,0,0,0,0,0,0,0,0
94153 Photographic and film processors,20,10,10,15,10,10,55,30,25,0,0,0,220,100,120,490,235,255,40,0,30,40,20,20,130,55,75,405,200,210,0,0,0,0,0,0,0,0,0
942 Assemblers and inspectors in manufacturing,590,525,65,255,215,35,"2,415","1,845",565,"1,940","1,610",330,"36,800","27,245","9,550","111,110","76,060","35,050","6,745","5,375","1,370","2,515","2,150",360,"9,345","7,545","1,795","11,630","9,160","2,470",50,45,10,20,20,0,0,0,0
"9420 Mechanical, electrical and electronics assemblers and inspectors",135,125,15,100,80,20,735,475,260,505,350,150,"14,860","10,665","4,200","83,305","54,585","28,725","3,190","2,710",480,"1,285","1,140",140,"3,400","2,630",770,"3,905","2,705","1,200",0,0,0,0,0,0,0,0,0
"94200 Motor vehicle assemblers, inspectors and testers",65,50,15,35,30,10,265,195,70,125,90,35,"3,875","3,025",850,"67,485","44,440","23,045",795,675,120,195,185,10,815,655,160,"1,025",740,285,0,0,0,0,0,0,10,10,0
"94201 Electronics assemblers, fabricators, inspectors and testers",25,25,0,15,0,15,225,90,135,120,70,50,"4,550","2,465","2,080","6,470","2,970","3,500",375,160,215,140,95,45,815,430,380,"1,430",755,675,0,0,0,0,0,0,0,0,0
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",0,0,0,0,0,0,60,25,35,90,50,40,"2,900","2,210",695,"3,280","2,230","1,050",190,165,30,75,65,10,815,730,90,415,320,100,0,0,0,0,0,0,0,0,0
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0,0,0,0,0,0,15,15,0,30,25,10,845,680,165,"1,070",795,270,225,220,10,85,85,0,195,170,25,130,120,10,0,0,0,0,0,0,0,0,0
94204 Mechanical assemblers and inspectors,40,40,0,40,40,0,105,85,20,110,100,15,"2,405","2,050",355,"4,700","3,910",785,"1,580","1,470",110,775,695,70,650,585,70,770,690,85,0,0,0,0,0,0,0,0,0
"94205 Machine operators and inspectors, electrical apparatus manufacturing",0,0,0,0,0,0,60,60,0,25,15,0,285,225,60,305,230,70,25,25,0,10,10,0,110,65,45,130,80,45,0,0,0,0,0,0,0,0,0
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors",450,400,50,150,135,15,"1,680","1,370",310,"1,435","1,255",180,"21,940","16,590","5,355","27,805","21,470","6,330","3,555","2,660",890,"1,230","1,010",220,"5,945","4,915","1,035","7,725","6,455","1,270",45,45,0,20,15,0,0,0,0
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",100,80,20,35,35,0,135,125,10,190,165,25,"6,080","4,440","1,635","7,635","6,075","1,560","1,130",805,325,210,165,50,"1,355","1,085",270,"1,995","1,615",380,0,0,0,10,10,0,0,0,0
94211 Assemblers and inspectors of other wood products,80,80,0,15,15,0,185,175,10,275,240,35,"3,150","2,625",520,"2,900","2,645",255,405,340,70,160,150,10,675,625,50,"1,140","1,085",55,10,10,0,0,0,0,0,0,0
"94212 Plastic products assemblers, finishers and inspectors",10,10,0,10,10,0,130,110,20,35,30,0,"1,730","1,025",705,"2,685","1,370","1,320",230,155,70,60,25,35,225,145,80,365,240,130,0,0,0,0,0,0,0,0,0
"94213 Industrial painters, coaters and metal finishing process operators",125,120,0,30,30,0,410,375,35,260,250,10,"4,265","3,705",560,"6,070","5,225",850,955,790,165,530,475,50,"1,830","1,670",160,"1,680","1,550",125,0,0,0,0,0,0,0,0,0
"94219 Other products assemblers, finishers and inspectors",140,110,30,60,50,15,820,585,240,675,570,105,"6,715","4,790","1,930","8,505","6,165","2,340",835,575,260,265,190,70,"1,855","1,385",470,"2,545","1,965",580,25,25,0,10,0,0,0,0,0
"95 Labourers in processing, manufacturing and utilities","4,745","3,050","1,705","1,705","1,080",620,"8,025","5,795","2,230","8,600","5,775","2,825","75,025","48,695","26,330","122,765","69,740","53,025","10,735","6,950","3,780","5,330","3,790","1,540","23,470","15,455","8,020","34,265","20,200","14,065",125,85,40,130,90,35,50,35,10
"951 Labourers in processing, manufacturing and utilities","4,745","3,050","1,705","1,705","1,080",620,"8,025","5,795","2,230","8,600","5,775","2,825","75,025","48,695","26,330","122,765","69,740","53,025","10,735","6,950","3,780","5,330","3,790","1,540","23,470","15,455","8,020","34,265","20,200","14,065",125,85,40,130,90,35,50,35,10
"9510 Labourers in processing, manufacturing and utilities","4,745","3,050","1,705","1,705","1,080",620,"8,025","5,795","2,230","8,600","5,775","2,825","75,025","48,695","26,330","122,765","69,740","53,025","10,735","6,950","3,780","5,330","3,790","1,540","23,470","15,455","8,020","34,265","20,200","14,065",125,85,40,130,90,35,50,35,10
95100 Labourers in mineral and metal processing,75,65,10,10,10,0,140,140,0,165,165,0,"2,095","1,895",210,"5,620","5,170",450,415,415,0,340,310,30,895,845,55,"1,185","1,040",145,10,10,0,0,0,0,0,0,0
95101 Labourers in metal fabrication,105,105,0,20,20,0,250,210,45,280,225,55,"4,175","3,660",520,"5,630","4,805",820,610,585,25,365,340,35,"1,820","1,640",180,"1,695","1,500",190,10,10,0,0,0,0,0,0,0
95102 Labourers in chemical products processing and utilities,95,70,25,55,35,15,215,135,75,750,550,205,"14,855","10,970","3,880","3,630","2,085","1,545",310,215,90,280,225,60,"1,260",925,330,975,590,385,0,0,0,15,15,0,0,0,0
